Lifter Name,Age,Weight Class,Lift Type,Amount Lifted (kg)
Matthew Anderson,24,120 kg,Deadlift,358
Chris Brown,58,120 kg,Bench Press,276
Laura Taylor,33,52 kg,Bench Press,354
Jessica Wilson,20,83 kg,Deadlift,375
Michael Johnson,28,83 kg,Squat,299
Emily Davis,59,74 kg,Bench Press,174
John Doe,60,Open,Bench Press,220
Laura Taylor,58,120 kg,Bench Press,336
Sarah Thomas,47,120 kg,Squat,122
Daniel Lee,28,83 kg,Deadlift,334
Sarah Thomas,28,66 kg,Bench Press,338
Matthew Anderson,49,66 kg,Squat,227
Jane Smith,35,66 kg,Deadlift,173
Laura Taylor,53,83 kg,Deadlift,133
Daniel Lee,54,59 kg,Squat,318
Matthew Anderson,54,66 kg,Squat,236
Chris Brown,35,83 kg,Deadlift,257
Emily Davis,39,83 kg,Squat,277
Jessica Wilson,45,66 kg,Bench Press,345
Michael Johnson,43,120 kg,Deadlift,282
John Doe,26,74 kg,Bench Press,246
Jane Smith,51,66 kg,Bench Press,358
Chris Brown,27,59 kg,Deadlift,238
John Doe,29,120 kg,Deadlift,317
Jessica Wilson,46,52 kg,Deadlift,256
Matthew Anderson,34,83 kg,Bench Press,153
Emily Davis,20,83 kg,Bench Press,331
Sarah Thomas,26,93 kg,Bench Press,185
Jane Smith,51,83 kg,Squat,186
Jessica Wilson,32,74 kg,Deadlift,161
Sarah Thomas,58,66 kg,Squat,310
John Doe,19,59 kg,Squat,228
Matthew Anderson,64,93 kg,Squat,287
Jane Smith,49,74 kg,Squat,109
Daniel Lee,40,93 kg,Deadlift,391
Sarah Thomas,63,120 kg,Deadlift,192
Laura Taylor,18,74 kg,Deadlift,100
Jane Smith,30,Open,Squat,311
Chris Brown,58,93 kg,Deadlift,390
Sarah Thomas,18,120 kg,Squat,188
Matthew Anderson,46,Open,Squat,209
Daniel Lee,49,74 kg,Deadlift,361
Laura Taylor,46,93 kg,Bench Press,269
Jessica Wilson,37,93 kg,Bench Press,172
Laura Taylor,50,83 kg,Squat,294
Matthew Anderson,60,74 kg,Bench Press,219
Jessica Wilson,61,Open,Bench Press,342
Jane Smith,22,Open,Bench Press,316
Chris Brown,35,52 kg,Bench Press,333
Laura Taylor,47,83 kg,Bench Press,254
Matthew Anderson,56,66 kg,Bench Press,182
Laura Taylor,44,93 kg,Bench Press,137
Laura Taylor,43,66 kg,Deadlift,142
Sarah Thomas,36,93 kg,Bench Press,354
Sarah Thomas,38,59 kg,Squat,307
John Doe,59,Open,Bench Press,245
Daniel Lee,25,Open,Bench Press,243
Emily Davis,52,74 kg,Squat,341
Laura Taylor,46,105 kg,Deadlift,228
Michael Johnson,50,66 kg,Squat,205
Daniel Lee,56,93 kg,Squat,314
Emily Davis,30,Open,Bench Press,263
Jessica Wilson,42,66 kg,Deadlift,225
Matthew Anderson,64,93 kg,Squat,132
Sarah Thomas,64,52 kg,Deadlift,388
Jessica Wilson,25,120 kg,Squat,305
John Doe,27,52 kg,Bench Press,249
Daniel Lee,57,Open,Bench Press,250
Sarah Thomas,63,66 kg,Squat,110
Jane Smith,51,83 kg,Deadlift,121
Chris Brown,48,59 kg,Squat,229
Laura Taylor,53,52 kg,Deadlift,327
Jessica Wilson,52,59 kg,Deadlift,103
Michael Johnson,57,83 kg,Deadlift,218
Daniel Lee,20,59 kg,Squat,313
Chris Brown,47,Open,Squat,371
Laura Taylor,57,Open,Squat,124
Emily Davis,40,66 kg,Bench Press,336
Daniel Lee,53,59 kg,Squat,291
Laura Taylor,18,105 kg,Squat,133
John Doe,44,66 kg,Bench Press,235
Daniel Lee,22,93 kg,Deadlift,255
Chris Brown,61,74 kg,Bench Press,190
Michael Johnson,27,59 kg,Deadlift,313
Emily Davis,24,120 kg,Squat,153
Michael Johnson,47,Open,Squat,151
John Doe,23,59 kg,Bench Press,189
Sarah Thomas,19,52 kg,Squat,319
Jessica Wilson,40,66 kg,Bench Press,365
Matthew Anderson,44,52 kg,Squat,157
Jane Smith,47,52 kg,Deadlift,282
John Doe,23,59 kg,Squat,276
Sarah Thomas,34,93 kg,Squat,276
Jessica Wilson,44,83 kg,Squat,271
Sarah Thomas,62,93 kg,Bench Press,286
Michael Johnson,44,83 kg,Bench Press,372
Jane Smith,32,66 kg,Bench Press,201
Emily Davis,42,93 kg,Squat,272
John Doe,26,83 kg,Squat,366
Daniel Lee,37,105 kg,Bench Press,267
John Doe,47,83 kg,Squat,145
Laura Taylor,29,59 kg,Deadlift,193
Sarah Thomas,64,Open,Bench Press,223
Emily Davis,39,105 kg,Deadlift,233
Matthew Anderson,20,105 kg,Squat,230
Chris Brown,44,120 kg,Deadlift,118
Chris Brown,61,105 kg,Deadlift,202
Jessica Wilson,22,52 kg,Bench Press,195
Jane Smith,40,83 kg,Squat,148
Daniel Lee,36,74 kg,Deadlift,236
Matthew Anderson,56,120 kg,Squat,119
Daniel Lee,19,66 kg,Deadlift,350
Jane Smith,22,105 kg,Squat,187
Chris Brown,57,52 kg,Squat,233
Chris Brown,37,66 kg,Squat,290
Sarah Thomas,45,105 kg,Squat,384
Matthew Anderson,25,Open,Deadlift,389
Daniel Lee,47,120 kg,Bench Press,293
Michael Johnson,52,59 kg,Squat,158
Emily Davis,42,59 kg,Deadlift,167
Matthew Anderson,30,52 kg,Deadlift,306
John Doe,23,59 kg,Deadlift,234
Jessica Wilson,62,83 kg,Bench Press,345
Matthew Anderson,31,59 kg,Deadlift,255
Laura Taylor,56,52 kg,Bench Press,246
Jessica Wilson,33,74 kg,Deadlift,193
Daniel Lee,18,Open,Bench Press,277
Jessica Wilson,22,83 kg,Squat,175
Laura Taylor,63,59 kg,Bench Press,273
Chris Brown,40,83 kg,Bench Press,355
Michael Johnson,48,105 kg,Bench Press,111
Daniel Lee,50,83 kg,Bench Press,122
Daniel Lee,49,66 kg,Deadlift,254
Matthew Anderson,63,120 kg,Bench Press,263
Jane Smith,54,83 kg,Deadlift,186
John Doe,21,66 kg,Bench Press,188
Jessica Wilson,53,93 kg,Deadlift,177
John Doe,37,66 kg,Bench Press,370
Jane Smith,52,105 kg,Squat,383
Chris Brown,35,93 kg,Squat,171
Jane Smith,62,Open,Bench Press,252
Sarah Thomas,21,Open,Bench Press,222
John Doe,26,120 kg,Bench Press,225
Emily Davis,19,Open,Bench Press,215
Sarah Thomas,33,Open,Squat,393
Emily Davis,59,52 kg,Bench Press,152
John Doe,26,59 kg,Squat,101
Matthew Anderson,40,120 kg,Deadlift,271
Michael Johnson,28,Open,Squat,231
Jessica Wilson,62,93 kg,Bench Press,131
Chris Brown,30,66 kg,Deadlift,120
Michael Johnson,21,Open,Squat,116
Chris Brown,40,Open,Squat,170
Michael Johnson,30,120 kg,Bench Press,109
John Doe,43,74 kg,Deadlift,394
Jane Smith,44,105 kg,Squat,386
Jessica Wilson,58,52 kg,Deadlift,252
Jessica Wilson,59,93 kg,Bench Press,269
Matthew Anderson,18,52 kg,Bench Press,150
John Doe,56,59 kg,Bench Press,172
John Doe,45,Open,Bench Press,395
Jessica Wilson,58,74 kg,Bench Press,222
Laura Taylor,54,105 kg,Deadlift,293
Emily Davis,39,83 kg,Deadlift,215
Daniel Lee,39,52 kg,Deadlift,319
John Doe,24,74 kg,Bench Press,332
Michael Johnson,30,74 kg,Deadlift,137
John Doe,25,93 kg,Bench Press,261
Jessica Wilson,21,105 kg,Deadlift,132
Jane Smith,28,52 kg,Bench Press,232
Laura Taylor,45,93 kg,Deadlift,385
Emily Davis,42,83 kg,Deadlift,229
Michael Johnson,64,52 kg,Squat,290
Emily Davis,27,66 kg,Squat,153
Michael Johnson,62,83 kg,Squat,110
Emily Davis,62,93 kg,Bench Press,298
Laura Taylor,54,59 kg,Deadlift,190
Laura Taylor,26,52 kg,Deadlift,141
Jane Smith,27,120 kg,Squat,386
Chris Brown,53,105 kg,Squat,216
Daniel Lee,19,74 kg,Squat,304
Laura Taylor,56,Open,Deadlift,233
John Doe,38,59 kg,Deadlift,123
John Doe,63,66 kg,Deadlift,324
Daniel Lee,43,105 kg,Deadlift,169
Chris Brown,62,52 kg,Bench Press,326
Chris Brown,43,93 kg,Deadlift,252
Jessica Wilson,23,83 kg,Bench Press,381
Jane Smith,18,52 kg,Squat,233
Michael Johnson,57,93 kg,Squat,399
Daniel Lee,24,Open,Deadlift,248
Matthew Anderson,24,105 kg,Bench Press,329
Michael Johnson,57,66 kg,Bench Press,112
Sarah Thomas,35,66 kg,Bench Press,393
Sarah Thomas,29,74 kg,Deadlift,308
Jessica Wilson,35,105 kg,Squat,274
Jessica Wilson,55,66 kg,Bench Press,206
Matthew Anderson,48,66 kg,Deadlift,328
Jessica Wilson,27,120 kg,Bench Press,326
Sarah Thomas,30,Open,Squat,164
Jane Smith,35,105 kg,Bench Press,278
Sarah Thomas,54,52 kg,Squat,189
Chris Brown,50,Open,Bench Press,146
Daniel Lee,21,52 kg,Squat,233
Sarah Thomas,30,Open,Deadlift,128
Matthew Anderson,55,52 kg,Deadlift,304
John Doe,25,83 kg,Bench Press,276
Jessica Wilson,64,120 kg,Squat,330
Daniel Lee,23,120 kg,Deadlift,311
John Doe,35,120 kg,Bench Press,141
Daniel Lee,36,52 kg,Deadlift,268
John Doe,36,74 kg,Squat,355
Daniel Lee,35,66 kg,Bench Press,125
Laura Taylor,51,83 kg,Deadlift,186
Jane Smith,28,93 kg,Squat,399
Jane Smith,27,93 kg,Deadlift,138
Jessica Wilson,44,66 kg,Bench Press,345
John Doe,22,83 kg,Bench Press,125
Daniel Lee,58,Open,Bench Press,156
Chris Brown,43,52 kg,Deadlift,357
Chris Brown,55,52 kg,Bench Press,294
Chris Brown,25,59 kg,Bench Press,238
Laura Taylor,51,83 kg,Squat,337
Michael Johnson,35,59 kg,Squat,282
Jane Smith,57,74 kg,Bench Press,399
Chris Brown,35,Open,Deadlift,369
Sarah Thomas,56,Open,Deadlift,337
Matthew Anderson,26,74 kg,Deadlift,101
Chris Brown,56,93 kg,Squat,355
Chris Brown,41,Open,Bench Press,352
Laura Taylor,52,66 kg,Deadlift,393
John Doe,55,74 kg,Deadlift,328
Laura Taylor,45,Open,Bench Press,221
Matthew Anderson,22,52 kg,Deadlift,396
Sarah Thomas,20,93 kg,Deadlift,339
Sarah Thomas,63,Open,Bench Press,254
Jessica Wilson,43,52 kg,Squat,335
Michael Johnson,24,52 kg,Squat,317
Daniel Lee,28,52 kg,Squat,189
Sarah Thomas,37,93 kg,Deadlift,157
Jessica Wilson,63,93 kg,Squat,290
Daniel Lee,33,120 kg,Deadlift,234
Jessica Wilson,38,120 kg,Squat,158
Emily Davis,33,Open,Squat,146
Emily Davis,53,52 kg,Squat,305
John Doe,25,120 kg,Bench Press,315
Emily Davis,58,66 kg,Deadlift,336
Chris Brown,54,83 kg,Deadlift,127
Jane Smith,46,59 kg,Deadlift,253
John Doe,62,105 kg,Deadlift,325
Sarah Thomas,64,120 kg,Squat,283
Sarah Thomas,27,66 kg,Squat,387
Emily Davis,54,105 kg,Squat,221
Sarah Thomas,41,74 kg,Bench Press,110
Emily Davis,53,74 kg,Deadlift,283
Chris Brown,46,105 kg,Squat,300
Daniel Lee,36,59 kg,Deadlift,266
Jessica Wilson,32,93 kg,Bench Press,236
Laura Taylor,57,83 kg,Squat,152
Jane Smith,38,74 kg,Squat,167
Jessica Wilson,54,83 kg,Deadlift,205
Laura Taylor,26,59 kg,Bench Press,290
Daniel Lee,57,52 kg,Bench Press,373
Daniel Lee,31,59 kg,Deadlift,245
Daniel Lee,61,52 kg,Squat,238
Jane Smith,58,52 kg,Deadlift,296
Matthew Anderson,39,93 kg,Bench Press,321
Chris Brown,50,83 kg,Squat,132
Michael Johnson,50,93 kg,Deadlift,284
John Doe,48,66 kg,Bench Press,177
Michael Johnson,27,52 kg,Bench Press,257
Matthew Anderson,45,105 kg,Deadlift,311
Emily Davis,46,83 kg,Squat,336
Laura Taylor,61,83 kg,Deadlift,111
Michael Johnson,41,66 kg,Deadlift,265
Jane Smith,46,Open,Bench Press,359
Chris Brown,20,105 kg,Squat,166
Chris Brown,38,120 kg,Squat,222
Chris Brown,40,120 kg,Deadlift,373
Michael Johnson,50,105 kg,Bench Press,293
Chris Brown,25,105 kg,Squat,357
Matthew Anderson,39,52 kg,Squat,367
Laura Taylor,38,120 kg,Deadlift,230
Sarah Thomas,37,93 kg,Squat,380
Matthew Anderson,43,Open,Bench Press,283
Sarah Thomas,55,Open,Bench Press,385
Jessica Wilson,42,52 kg,Deadlift,272
Sarah Thomas,37,Open,Squat,296
Jane Smith,60,120 kg,Deadlift,386
Matthew Anderson,31,83 kg,Bench Press,380
Matthew Anderson,62,52 kg,Squat,120
Daniel Lee,45,52 kg,Deadlift,216
John Doe,40,120 kg,Squat,367
John Doe,45,93 kg,Squat,193
Michael Johnson,21,52 kg,Bench Press,338
Emily Davis,51,120 kg,Deadlift,261
Michael Johnson,47,66 kg,Squat,103
Jane Smith,39,66 kg,Deadlift,271
Sarah Thomas,20,52 kg,Deadlift,124
Jessica Wilson,56,105 kg,Deadlift,341
Daniel Lee,42,105 kg,Squat,345
Jane Smith,35,120 kg,Deadlift,115
Matthew Anderson,31,66 kg,Bench Press,217
Laura Taylor,27,59 kg,Deadlift,250
Laura Taylor,59,93 kg,Deadlift,180
Emily Davis,43,83 kg,Squat,208
Chris Brown,55,74 kg,Squat,225
Sarah Thomas,32,120 kg,Squat,347
Daniel Lee,47,93 kg,Bench Press,292
Sarah Thomas,25,93 kg,Squat,296
Daniel Lee,45,83 kg,Squat,106
Chris Brown,46,83 kg,Bench Press,350
Jane Smith,40,74 kg,Bench Press,311
Michael Johnson,22,93 kg,Deadlift,116
John Doe,21,93 kg,Deadlift,181
John Doe,42,74 kg,Deadlift,176
Laura Taylor,57,74 kg,Deadlift,282
Daniel Lee,44,74 kg,Squat,396
Michael Johnson,27,105 kg,Squat,127
Sarah Thomas,59,66 kg,Deadlift,134
Matthew Anderson,25,105 kg,Deadlift,370
Matthew Anderson,38,120 kg,Squat,364
Michael Johnson,29,83 kg,Deadlift,152
Jane Smith,24,105 kg,Squat,318
Michael Johnson,46,83 kg,Squat,315
Laura Taylor,63,Open,Squat,121
Daniel Lee,20,52 kg,Squat,304
Daniel Lee,57,Open,Bench Press,202
Michael Johnson,45,Open,Bench Press,250
Jane Smith,49,66 kg,Deadlift,267
Jessica Wilson,53,105 kg,Bench Press,389
Daniel Lee,30,74 kg,Bench Press,345
Sarah Thomas,18,105 kg,Squat,351
Sarah Thomas,41,66 kg,Squat,283
Emily Davis,23,83 kg,Squat,187
Sarah Thomas,18,66 kg,Deadlift,320
Chris Brown,53,93 kg,Bench Press,370
Michael Johnson,28,52 kg,Deadlift,289
Jane Smith,47,93 kg,Deadlift,267
Daniel Lee,35,83 kg,Squat,345
John Doe,58,Open,Deadlift,162
Michael Johnson,36,93 kg,Squat,214
Daniel Lee,28,59 kg,Bench Press,346
Emily Davis,37,120 kg,Deadlift,243
Laura Taylor,55,52 kg,Deadlift,364
Jessica Wilson,31,105 kg,Bench Press,115
Michael Johnson,21,66 kg,Deadlift,182
Daniel Lee,54,66 kg,Bench Press,287
Daniel Lee,21,105 kg,Squat,164
Jane Smith,53,52 kg,Squat,155
Sarah Thomas,25,66 kg,Bench Press,277
John Doe,28,93 kg,Deadlift,322
Jane Smith,38,59 kg,Bench Press,102
Emily Davis,46,Open,Deadlift,357
Emily Davis,26,52 kg,Squat,212
Jane Smith,26,105 kg,Deadlift,136
Emily Davis,35,105 kg,Deadlift,113
Chris Brown,35,93 kg,Deadlift,263
Emily Davis,23,74 kg,Bench Press,345
Sarah Thomas,49,74 kg,Deadlift,371
Sarah Thomas,47,105 kg,Squat,278
Jessica Wilson,34,59 kg,Squat,141
Daniel Lee,40,83 kg,Deadlift,104
Matthew Anderson,53,105 kg,Deadlift,352
Sarah Thomas,53,66 kg,Squat,208
Jessica Wilson,34,105 kg,Bench Press,208
Jessica Wilson,45,66 kg,Squat,142
Matthew Anderson,50,66 kg,Squat,177
Chris Brown,20,74 kg,Squat,196
Jessica Wilson,29,66 kg,Squat,276
John Doe,36,59 kg,Squat,129
Emily Davis,42,52 kg,Bench Press,167
Jane Smith,42,120 kg,Squat,169
Daniel Lee,18,59 kg,Bench Press,255
Matthew Anderson,63,83 kg,Bench Press,152
Daniel Lee,26,120 kg,Bench Press,338
Emily Davis,41,59 kg,Bench Press,362
Chris Brown,19,59 kg,Squat,368
Jessica Wilson,47,59 kg,Squat,291
Matthew Anderson,56,120 kg,Bench Press,108
Michael Johnson,56,83 kg,Deadlift,134
Sarah Thomas,62,105 kg,Squat,359
Emily Davis,35,93 kg,Deadlift,261
Michael Johnson,37,Open,Bench Press,247
Sarah Thomas,43,93 kg,Bench Press,231
Jane Smith,23,93 kg,Squat,337
Jane Smith,64,Open,Deadlift,193
Matthew Anderson,39,Open,Squat,382
Daniel Lee,52,93 kg,Squat,319
Emily Davis,51,59 kg,Squat,250
Michael Johnson,56,66 kg,Deadlift,177
Michael Johnson,45,52 kg,Bench Press,318
Chris Brown,59,Open,Bench Press,342
Laura Taylor,55,120 kg,Deadlift,138
Michael Johnson,22,Open,Squat,277
Chris Brown,37,105 kg,Bench Press,330
Chris Brown,51,93 kg,Deadlift,237
Sarah Thomas,39,83 kg,Bench Press,331
Jane Smith,22,105 kg,Squat,284
Jessica Wilson,43,66 kg,Deadlift,289
Emily Davis,25,59 kg,Bench Press,236
Laura Taylor,54,66 kg,Bench Press,244
Chris Brown,49,Open,Bench Press,323
Michael Johnson,20,Open,Squat,207
John Doe,43,83 kg,Bench Press,348
Sarah Thomas,30,105 kg,Bench Press,342
Michael Johnson,23,66 kg,Deadlift,231
Michael Johnson,53,83 kg,Squat,159
Sarah Thomas,48,83 kg,Deadlift,188
Daniel Lee,27,93 kg,Deadlift,111
Matthew Anderson,35,93 kg,Deadlift,221
Sarah Thomas,47,93 kg,Squat,336
Jane Smith,29,120 kg,Bench Press,135
Jane Smith,52,74 kg,Squat,347
Jane Smith,61,59 kg,Bench Press,126
John Doe,61,52 kg,Deadlift,215
Jane Smith,51,120 kg,Squat,276
Laura Taylor,46,52 kg,Deadlift,230
John Doe,40,105 kg,Squat,211
Daniel Lee,43,120 kg,Bench Press,111
Jessica Wilson,45,59 kg,Bench Press,142
Sarah Thomas,35,105 kg,Bench Press,121
Matthew Anderson,51,Open,Deadlift,226
Jessica Wilson,51,66 kg,Deadlift,377
Daniel Lee,43,66 kg,Deadlift,180
Matthew Anderson,38,93 kg,Squat,364
Jane Smith,25,93 kg,Deadlift,315
Chris Brown,18,74 kg,Deadlift,313
Jessica Wilson,30,Open,Deadlift,339
Sarah Thomas,25,59 kg,Bench Press,111
John Doe,62,105 kg,Deadlift,263
Jessica Wilson,41,83 kg,Squat,326
Daniel Lee,56,66 kg,Bench Press,132
Sarah Thomas,20,93 kg,Squat,197
Jane Smith,27,120 kg,Bench Press,207
Jane Smith,48,105 kg,Bench Press,352
Emily Davis,44,59 kg,Deadlift,153
Jane Smith,30,Open,Bench Press,332
Daniel Lee,36,59 kg,Deadlift,156
John Doe,57,Open,Bench Press,289
Laura Taylor,47,52 kg,Squat,166
Daniel Lee,64,52 kg,Squat,192
Chris Brown,56,74 kg,Bench Press,132
Sarah Thomas,24,120 kg,Deadlift,363
Michael Johnson,20,Open,Bench Press,353
Emily Davis,31,93 kg,Bench Press,243
Daniel Lee,34,105 kg,Deadlift,207
Daniel Lee,49,83 kg,Bench Press,322
Michael Johnson,26,105 kg,Squat,309
Jane Smith,59,120 kg,Deadlift,305
Laura Taylor,57,59 kg,Squat,300
Matthew Anderson,49,83 kg,Bench Press,264
Matthew Anderson,43,83 kg,Deadlift,200
Chris Brown,36,59 kg,Bench Press,254
Michael Johnson,37,74 kg,Bench Press,137
Sarah Thomas,46,52 kg,Deadlift,278
Matthew Anderson,19,59 kg,Squat,208
John Doe,44,93 kg,Squat,262
Emily Davis,48,74 kg,Squat,110
John Doe,39,Open,Squat,323
Jessica Wilson,29,52 kg,Bench Press,371
Laura Taylor,53,93 kg,Bench Press,145
Laura Taylor,52,120 kg,Deadlift,270
Chris Brown,18,66 kg,Squat,379
Matthew Anderson,42,83 kg,Bench Press,367
Michael Johnson,64,Open,Bench Press,110
Sarah Thomas,50,59 kg,Deadlift,167
Jessica Wilson,58,66 kg,Squat,392
Jane Smith,22,105 kg,Bench Press,300
Laura Taylor,47,105 kg,Bench Press,268
Laura Taylor,36,93 kg,Squat,389
Jane Smith,55,66 kg,Deadlift,118
Jessica Wilson,57,83 kg,Bench Press,227
John Doe,20,120 kg,Bench Press,121
Laura Taylor,51,105 kg,Deadlift,284
Matthew Anderson,43,59 kg,Squat,151
Chris Brown,45,66 kg,Deadlift,337
Jessica Wilson,63,66 kg,Deadlift,314
Michael Johnson,40,93 kg,Squat,306
John Doe,60,66 kg,Bench Press,317
Matthew Anderson,24,120 kg,Squat,113
Daniel Lee,47,120 kg,Bench Press,350
Jessica Wilson,50,120 kg,Squat,129
Emily Davis,57,66 kg,Squat,274
Matthew Anderson,41,83 kg,Squat,273
Sarah Thomas,55,52 kg,Deadlift,317
John Doe,28,74 kg,Bench Press,108
Laura Taylor,27,105 kg,Deadlift,349
Michael Johnson,19,59 kg,Squat,276
Matthew Anderson,18,59 kg,Deadlift,350
Laura Taylor,21,120 kg,Squat,292
Daniel Lee,43,120 kg,Squat,166
John Doe,58,74 kg,Deadlift,161
Jessica Wilson,30,74 kg,Bench Press,111
Michael Johnson,21,Open,Squat,387
Daniel Lee,52,Open,Squat,389
Matthew Anderson,45,Open,Squat,184
Chris Brown,19,66 kg,Squat,301
John Doe,26,93 kg,Deadlift,247
Emily Davis,56,59 kg,Squat,285
Chris Brown,51,83 kg,Bench Press,352
Jane Smith,61,105 kg,Deadlift,317
Matthew Anderson,49,59 kg,Deadlift,214
Michael Johnson,47,Open,Squat,298
Matthew Anderson,63,59 kg,Bench Press,391
Sarah Thomas,31,74 kg,Bench Press,180
Matthew Anderson,32,Open,Deadlift,133
Laura Taylor,46,74 kg,Deadlift,288
Sarah Thomas,34,83 kg,Deadlift,367
Emily Davis,53,Open,Deadlift,271
Daniel Lee,42,83 kg,Deadlift,310
Emily Davis,63,83 kg,Bench Press,290
Laura Taylor,24,120 kg,Squat,219
Laura Taylor,36,Open,Deadlift,244
Michael Johnson,51,59 kg,Bench Press,356
Laura Taylor,26,93 kg,Bench Press,369
Matthew Anderson,32,93 kg,Bench Press,148
Chris Brown,36,105 kg,Bench Press,356
Emily Davis,59,66 kg,Deadlift,173
John Doe,57,59 kg,Deadlift,253
Michael Johnson,42,105 kg,Deadlift,204
Jessica Wilson,30,Open,Deadlift,158
Chris Brown,27,83 kg,Deadlift,114
Michael Johnson,51,59 kg,Bench Press,313
Laura Taylor,51,120 kg,Bench Press,300
Emily Davis,42,52 kg,Deadlift,339
Laura Taylor,33,59 kg,Deadlift,391
Emily Davis,64,93 kg,Squat,235
Jane Smith,57,93 kg,Deadlift,193
Chris Brown,24,120 kg,Squat,171
Jessica Wilson,35,Open,Squat,235
Emily Davis,26,74 kg,Deadlift,305
Michael Johnson,19,83 kg,Squat,292
Jane Smith,25,Open,Bench Press,397
Emily Davis,38,59 kg,Bench Press,272
Chris Brown,58,Open,Squat,247
Chris Brown,26,52 kg,Squat,267
Daniel Lee,18,66 kg,Deadlift,217
Sarah Thomas,59,Open,Bench Press,181
Sarah Thomas,20,93 kg,Bench Press,159
Emily Davis,50,52 kg,Squat,346
Laura Taylor,40,105 kg,Squat,326
Chris Brown,28,120 kg,Deadlift,206
John Doe,48,120 kg,Bench Press,361
John Doe,26,83 kg,Squat,163
John Doe,39,59 kg,Bench Press,335
John Doe,63,120 kg,Deadlift,232
Chris Brown,21,66 kg,Deadlift,388
Jessica Wilson,23,Open,Bench Press,311
Jessica Wilson,45,Open,Bench Press,168
Sarah Thomas,44,93 kg,Bench Press,259
Michael Johnson,30,74 kg,Bench Press,319
John Doe,18,66 kg,Squat,161
Laura Taylor,21,74 kg,Bench Press,305
Jane Smith,61,52 kg,Deadlift,258
Sarah Thomas,50,120 kg,Deadlift,182
Sarah Thomas,58,Open,Squat,282
John Doe,38,Open,Bench Press,367
Laura Taylor,32,105 kg,Squat,182
Daniel Lee,42,74 kg,Bench Press,212
Laura Taylor,21,120 kg,Deadlift,320
Sarah Thomas,50,59 kg,Bench Press,118
John Doe,27,83 kg,Deadlift,313
Sarah Thomas,24,83 kg,Squat,133
Chris Brown,21,66 kg,Squat,220
Matthew Anderson,46,74 kg,Bench Press,142
Jessica Wilson,21,120 kg,Squat,321
Michael Johnson,33,93 kg,Deadlift,303
Jessica Wilson,50,105 kg,Squat,156
Chris Brown,56,74 kg,Squat,135
Jane Smith,62,59 kg,Deadlift,273
John Doe,46,52 kg,Deadlift,275
Michael Johnson,23,105 kg,Squat,358
Jessica Wilson,19,52 kg,Bench Press,231
Chris Brown,35,74 kg,Squat,158
Michael Johnson,26,66 kg,Deadlift,266
Laura Taylor,27,74 kg,Squat,372
Emily Davis,31,66 kg,Bench Press,195
Jessica Wilson,59,74 kg,Bench Press,241
Daniel Lee,42,Open,Squat,367
Chris Brown,22,Open,Squat,321
Sarah Thomas,25,59 kg,Bench Press,182
Matthew Anderson,23,52 kg,Bench Press,209
John Doe,57,120 kg,Squat,188
John Doe,38,105 kg,Deadlift,294
Michael Johnson,21,93 kg,Bench Press,181
Daniel Lee,19,66 kg,Squat,256
Jane Smith,27,120 kg,Bench Press,320
Jessica Wilson,44,52 kg,Bench Press,343
Sarah Thomas,19,Open,Deadlift,201
Jessica Wilson,58,120 kg,Bench Press,232
Michael Johnson,56,Open,Bench Press,320
Emily Davis,64,93 kg,Deadlift,272
Emily Davis,39,Open,Squat,368
Emily Davis,30,52 kg,Bench Press,294
Matthew Anderson,24,120 kg,Deadlift,195
Jessica Wilson,50,Open,Deadlift,268
Sarah Thomas,60,93 kg,Deadlift,216
Jessica Wilson,38,Open,Squat,159
Jane Smith,30,83 kg,Squat,172
Matthew Anderson,40,59 kg,Deadlift,258
Laura Taylor,38,74 kg,Bench Press,125
Laura Taylor,63,52 kg,Deadlift,113
Jane Smith,51,Open,Squat,378
Sarah Thomas,50,120 kg,Squat,328
John Doe,27,93 kg,Squat,181
Sarah Thomas,54,120 kg,Deadlift,296
Chris Brown,21,105 kg,Deadlift,100
Daniel Lee,59,120 kg,Bench Press,122
John Doe,26,66 kg,Bench Press,152
Emily Davis,46,93 kg,Bench Press,218
Emily Davis,31,74 kg,Squat,232
Chris Brown,41,59 kg,Bench Press,294
Jane Smith,25,105 kg,Deadlift,176
John Doe,30,83 kg,Squat,355
Chris Brown,20,59 kg,Bench Press,243
Daniel Lee,54,83 kg,Deadlift,380
Matthew Anderson,63,105 kg,Squat,102
Michael Johnson,31,93 kg,Squat,197
Jane Smith,41,59 kg,Squat,309
Michael Johnson,57,52 kg,Squat,212
Jane Smith,27,66 kg,Squat,135
John Doe,57,93 kg,Deadlift,370
Jane Smith,33,Open,Bench Press,351
Daniel Lee,29,120 kg,Bench Press,211
Chris Brown,27,Open,Bench Press,276
Chris Brown,19,74 kg,Bench Press,332
Jessica Wilson,44,83 kg,Deadlift,171
Sarah Thomas,29,105 kg,Deadlift,174
Emily Davis,49,52 kg,Deadlift,161
Daniel Lee,29,105 kg,Deadlift,259
John Doe,19,52 kg,Deadlift,307
Michael Johnson,26,120 kg,Deadlift,373
John Doe,43,83 kg,Bench Press,346
Laura Taylor,48,105 kg,Deadlift,159
Laura Taylor,51,93 kg,Bench Press,244
Jane Smith,62,Open,Deadlift,330
Chris Brown,41,83 kg,Deadlift,377
Sarah Thomas,38,59 kg,Deadlift,349
Matthew Anderson,26,93 kg,Bench Press,298
John Doe,18,59 kg,Bench Press,339
